package,version,license,level
"coq","8.16.1","https://spdx.org/licenses/LGPL-2.1-only.html","base"
"dune-configurator","3.7.0","https://spdx.org/licenses/MIT.html","base"
"dune","3.7.0","https://spdx.org/licenses/MIT.html","base"
"coqide","8.16.1","https://spdx.org/licenses/LGPL-2.1-only.html","ide"
"coq-aac-tactics","8.16.0","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-bignums","9.0.0+coq8.16","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-coqeal","1.1.3","https://spdx.org/licenses/MIT.html","full"
"coq-coqprime-generator","1.1.1","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-coqprime","1.3.0","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-coquelicot","3.4.0","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-corn","8.16.0","https://spdx.org/licenses/GPL-2.0-only.html","full"
"coq-dpdgraph","1.0+8.16","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-elpi","1.15.6","https://spdx.org/licenses/LGPL-2.1-or-later.html","full"
"coq-equations","1.3+8.16","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-ext-lib","0.11.8","https://spdx.org/licenses/BSD-2-Clause.html","full"
"coq-flocq","4.1.1","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-gappa","1.5.3","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-hammer-tactics","1.3.2+8.16","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-hammer","1.3.2+8.16","https://spdx.org/licenses/LGPL-2.1-only.html","full"
"coq-hierarchy-builder","1.4.0","https://spdx.org/licenses/MIT.html","full"
"coq-hott","8.17","https://spdx.org/licenses/BSD-2-Clause.html","full"
"coq-interval","4.8.0","https://spdx.org/licenses/CECILL-C.html","full"
"coq-iris-heap-lang","4.0.0","https://spdx.org/licenses/BSD-3-Clause.html","full"
"coq-iris","4.0.0","https://spdx.org/licenses/BSD-3-Clause.html","full"
"coq-itauto","8.16.0","https://spdx.org/licenses/MIT.html","full"
"coq-libhyps","2.0.6","https://spdx.org/licenses/MIT.html","full"
"coq-math-classes","8.17.0","https://spdx.org/licenses/MIT.html","full"
"coq-mathcomp-algebra-tactics","1.1.1","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-algebra","1.17.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-analysis","0.6.3","https://spdx.org/licenses/CECILL-C.html","full"
"coq-mathcomp-bigenough","1.0.1","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-character","1.17.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-field","1.17.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-fingroup","1.17.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-finmap","1.5.2","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-multinomials","1.6.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-real-closed","1.1.4","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-solvable","1.17.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-ssreflect","1.17.0","https://spdx.org/licenses/CECILL-B.html","full"
"coq-mathcomp-word","2.1","https://spdx.org/licenses/MIT.html","full"
"coq-mathcomp-zify","1.3.0+1.12+8.13","https://spdx.org/licenses/CECILL-B.html","full"
"coq-menhirlib","20220210","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-mtac2","1.4+8.16","https://spdx.org/licenses/MIT.html","full"
"coq-ott","0.33","https://spdx.org/licenses/BSD-3-Clause.html","full"
"coq-paramcoq","1.1.3+coq8.16","https://spdx.org/licenses/MIT.html","full"
"coq-quickchick","1.6.5","https://spdx.org/licenses/MIT.html","full"
"coq-reglang","1.1.3","https://spdx.org/licenses/CECILL-B.html","full"
"coq-relation-algebra","1.7.8","https://spdx.org/licenses/LGPL-3.0-or-later.html","full"
"coq-simple-io","1.8.0","https://spdx.org/licenses/MIT.html","full"
"coq-stdpp","1.8.0","https://spdx.org/licenses/BSD-3-Clause.html","full"
"coq-unicoq","1.6+8.16","https://spdx.org/licenses/MIT.html","full"
"eprover","2.6","https://spdx.org/licenses/LGPL-2.1-or-later.html,https://spdx.org/licenses/GPL-2.0-or-later.html","full"
"gappa","1.4.1","https://spdx.org/licenses/CECILL-2.1.html","full"
"menhir","20220210","LGPL-2.0-only WITH OCaml-LGPL-linking-exception","full"
"ott","0.33","https://spdx.org/licenses/BSD-3-Clause.html,https://spdx.org/licenses/LGPL-2.1-only.html","full"
"sexplib0","v0.15.1","https://spdx.org/licenses/MIT.html","full"
"z3_tptp","4.11.2","https://spdx.org/licenses/MIT.html","full"
"coq-compcert","3.12","INRIA Non-Commercial License Agreement","optional"
"coq-unimath","20220816","Kind of MIT","optional"
"coq-vst","2.12","https://spdx.org/licenses/BSD-2-Clause.html","optional"
"coq-bedrock2-compiler","0.0.5","https://spdx.org/licenses/MIT.html","extended"
"coq-bedrock2","0.0.5","https://spdx.org/licenses/MIT.html","extended"
"coq-coqutil","0.0.3","https://spdx.org/licenses/MIT.html","extended"
"coq-deriving","0.1.1","https://spdx.org/licenses/MIT.html","extended"
"coq-extructures","0.3.1","https://spdx.org/licenses/MIT.html","extended"
"coq-fiat-crypto","0.0.20","MIT OR Apache-2.0 OR BSD-1-Clause","extended"
"coq-metacoq","1.2+8.16","https://spdx.org/licenses/MIT.html","extended"
"coq-record-update","0.3.2","https://spdx.org/licenses/MIT.html","extended"
"coq-reduction-effects","0.1.4","https://spdx.org/licenses/MPL-2.0.html","extended"
"coq-rewriter","0.0.8","MIT OR Apache-2.0 OR BSD-1-Clause","extended"
"coq-riscv","0.0.4","https://spdx.org/licenses/BSD-3-Clause.html","extended"
"coq-rupicola","0.0.7","https://spdx.org/licenses/MIT.html","extended"
"coq-serapi","8.16.0+0.16.3","https://spdx.org/licenses/GPL-3.0-or-later.html","extended"
"base-bigarray","base","unknown","dependency"
"base-threads","base","unknown","dependency"
"base-unix","base","unknown","dependency"
"cmdliner","1.2.0","https://spdx.org/licenses/ISC.html","dependency"
"conf-adwaita-icon-theme","2","https://spdx.org/licenses/LGPL-3.0-only.html,https://spdx.org/licenses/CC-BY-SA-3.0.html","dependency"
"conf-autoconf","0.1","https://spdx.org/licenses/GPL-3.0-only.html","dependency"
"conf-automake","1","https://spdx.org/licenses/GPL-2.0-or-later.html","dependency"
"conf-bison","2","https://spdx.org/licenses/GPL-3.0-or-later.html","dependency"
"conf-boost","1","https://spdx.org/licenses/MIT.html","dependency"
"conf-c++","1.0","https://spdx.org/licenses/GPL-2.0-or-later.html","dependency"
"conf-cairo","1","https://spdx.org/licenses/LGPL-2.1-only.html,https://spdx.org/licenses/MPL-1.1.html","dependency"
"conf-findutils","1","https://spdx.org/licenses/GPL-3.0-or-later.html","dependency"
"conf-flex","2","https://github.com/westes/flex/blob/master/COPYING","dependency"
"conf-g++","1.0","https://spdx.org/licenses/GPL-2.0-or-later.html","dependency"
"conf-gcc","1.0","https://spdx.org/licenses/GPL-2.0-or-later.html","dependency"
"conf-gmp","4","https://spdx.org/licenses/GPL-1.0-or-later.html","dependency"
"conf-gtk3","18","unknown","dependency"
"conf-gtksourceview3","0+2","https://spdx.org/licenses/LGPL-2.1-or-later.html","dependency"
"conf-libjpeg","1","BSD-like","dependency"
"conf-libtool","1","https://spdx.org/licenses/GPL-3.0-only.html","dependency"
"conf-mpfr","3","https://spdx.org/licenses/LGPL-2.0-or-later.html","dependency"
"conf-pkg-config","3","https://spdx.org/licenses/GPL-1.0-or-later.html","dependency"
"conf-python-3","9.0.0","PSF","dependency"
"conf-which","1","https://spdx.org/licenses/GPL-2.0-or-later.html","dependency"
"ocaml-config","2","unknown","dependency"
"ocaml-option-flambda","1","unknown","dependency"
"ocaml-variants","4.14.1+options","LGPL-2.1-or-later WITH OCaml-LGPL-linking-exception","dependency"
"ocaml","4.14.1","LGPL-2.1-or-later WITH OCaml-LGPL-linking-exception","dependency"
